Area,Canyon,num_routes,total_score,avg_path_position,first_scenic_order,avg_stars,Latitude,Longitude,5.0-5.6,5.11,5.7-5.8,5.9-5.10,unknown,5.12+,num_trad,num_sport,avg_trad_grade,score_per_route,score_rank
Brownstone Wall,Juniper Canyon,6,26.1,0.5943,514,3.0167,36.1148,-115.4957,,,,,,,6,0,5.11,4.35,67
Challenger Wall,Pine Creek Canyon,2,10.1,0.6022,520,3.05,36.1187,-115.4966,,,,,,,2,0,5.11,5.05,118
Cloud Tower,Juniper Canyon,2,7.3,0.6335,522,2.65,36.1124,-115.4891,,,,,,,2,0,5.11,3.65,129
Ginger Buttress,Juniper Canyon,4,22.6,0.6364,524,2.65,36.1121,-115.4883,,,,,,,4,0,5.9,5.65,84
Jackrabbit Buttress,Juniper Canyon,7,33.1,0.64,528,2.3,36.1153,-115.4895,,,,,,,7,0,5.5,4.73,56
Aquarium Wall,Juniper Canyon,2,9.0,0.6536,535,1.5,36.1165,-115.4883,,,,,,,2,0,5.8,4.5,124
Tattle Tale Gully,Juniper Canyon,2,9.0,0.6544,537,2.5,36.1168,-115.4886,,,,,,,2,0,5.10+,4.5,124
Jungle Wall,Juniper Canyon,20,108.2,0.6566,539,2.66,36.1178,-115.49,0.0,1.0,0.0,2.0,0.0,0.0,15,3,5.8,5.41,4
Rose Tower,Juniper Canyon,4,19.4,0.6638,559,2.1,36.1178,-115.488,,,,,,,4,0,5.6,4.85,91
Little Joe,Pine Creek Canyon,3,15.0,0.672,563,2.3333,36.1206,-115.4915,,,,,,,2,0,5.5+,5.0,103
South Face,Mescalito,2,12.4,0.6745,566,3.2,36.1218,-115.4931,,,,,,,2,0,5.10,6.2,110
Southeast Buttress,Mescalito,3,13.5,0.6756,568,1.5,36.1218,-115.4928,,,,,,,3,0,5.8+,4.5,108
North Face,Magic Mountain,7,35.8,0.6811,571,2.6857,36.1213,-115.4902,,,,,,,7,0,5.9+,5.11,54
Dark Shadows Wall,Mescalito,4,21.0,0.6833,578,3.0,36.124,-115.4951,,,,,,,4,0,5.8,5.25,86
East Face,Mescalito,5,23.0,0.685,582,2.0,36.123,-115.4926,,,,,,,5,0,5.7,4.6,82
East Face(aka Dependent Variable Area),Magic Mountain,3,14.6,0.6887,587,1.8667,36.121,-115.4877,,,,,,,3,0,5.9,4.87,104
