Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Latitude,Longitude,Area,Canyon,Path_Position,Distance_to_Road,Scenic_Loop_Order
Ultramagnetic MCs,Ultraman Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/109940253/ultramagnetic-mcs,1.8,-1,"Trad, TR",5.8,1,140.0,36.15151,-115.43125,Ultraman Wall,First Pullout (Calico I),0.0323388244864973,0.1917821776272141,21
Science Patrol,Ultraman Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732908/science-patrol,2.7,-1,"Sport, TR",5.8,1,170.0,36.15151,-115.43125,Ultraman Wall,First Pullout (Calico I),0.0323388244864973,0.1917821776272141,22
Ultraman,Ultraman Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732638/ultraman,3.0,-1,"Sport, TR",5.8+ R,1,130.0,36.15151,-115.43125,Ultraman Wall,First Pullout (Calico I),0.0323388244864973,0.1917821776272141,23
Clutch Cargo,Ultraman Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732641/clutch-cargo,2.6,-1,"Sport, TR",5.9,1,90.0,36.15151,-115.43125,Ultraman Wall,First Pullout (Calico I),0.0323388244864973,0.1917821776272141,24
Ghidorah,Ultraman Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/108576255/ghidorah,2.0,-1,"Trad, TR",5.8+ R,1,105.0,36.15151,-115.43125,Ultraman Wall,First Pullout (Calico I),0.0323388244864973,0.1917821776272141,25
MK Ultra,Ultraman Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/109940237/mk-ultra,2.8,-1,Trad,5.9 PG13,1,120.0,36.15151,-115.43125,Ultraman Wall,First Pullout (Calico I),0.0323388244864973,0.1917821776272141,26
Destroy All Monsters,Ultraman Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/108523687/destroy-all-monsters,2.0,-1,"Sport, TR",5.10-,1,130.0,36.15151,-115.43125,Ultraman Wall,First Pullout (Calico I),0.0323388244864973,0.1917821776272141,27
Godzilla,Ultraman Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107010956/godzilla,2.8,-1,"Sport, TR",5.7,1,120.0,36.15151,-115.43125,Ultraman Wall,First Pullout (Calico I),0.0323388244864973,0.1917821776272141,28
Speed Racer,Ultraman Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732644/speed-racer,2.7,-1,"Sport, TR",5.8+ X,1,120.0,36.15151,-115.43125,Ultraman Wall,First Pullout (Calico I),0.0323388244864973,0.1917821776272141,29
Scent of the Ultraman,Ultraman Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106327989/scent-of-the-ultraman,2.3,-1,"Sport, TR",5.7,1,110.0,36.15151,-115.43125,Ultraman Wall,First Pullout (Calico I),0.0323388244864973,0.1917821776272141,30
Mothra,Ultraman Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/108523672/mothra,2.5,-1,Trad,5.7+,1,115.0,36.15151,-115.43125,Ultraman Wall,First Pullout (Calico I),0.0323388244864973,0.1917821776272141,31
A Route No One Has Ever Survived,Wall of Death > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/112278276/a-route-no-one-has-ever-survived,2.6,-1,"Sport, TR",5.7,1,40.0,36.15129,-115.43143,Wall of Death,First Pullout (Calico I),0.0334207850315435,0.1962735335266007,32
Five-Thirteen Ex,Wall of Death > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/112278303/five-thirteen-ex,2.5,-1,"Sport, TR",5.7,1,50.0,36.15129,-115.43143,Wall of Death,First Pullout (Calico I),0.0334207850315435,0.1962735335266007,33
Fuzzy Bunny Slippers,Wall of Death > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/112278317/fuzzy-bunny-slippers,2.7,-1,TR,5.8,1,50.0,36.15129,-115.43143,Wall of Death,First Pullout (Calico I),0.0334207850315435,0.1962735335266007,34
Jay Smith Appreciation Route,Janes Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/108646364/jay-smith-appreciation-route,1.0,-1,Trad,5.8 R,1,90.0,36.15234,-115.4323,Janes Wall,First Pullout (Calico I),0.0337075452511655,0.1081915799990392,35
What's Left Of The Sport,Janes Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/108650179/whats-left-of-the-sport,2.0,-1,Trad,5.9,1,80.0,36.15234,-115.4323,Janes Wall,First Pullout (Calico I),0.0337075452511655,0.1081915799990392,36
Half Baked,Janes Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106684306/half-baked,1.7,-1,Sport,5.9+,1,40.0,36.15234,-115.4323,Janes Wall,First Pullout (Calico I),0.0337075452511655,0.1081915799990392,37
Playing Hooky,Janes Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106585761/playing-hooky,2.2,-1,Sport,5.10a,1,30.0,36.15234,-115.4323,Janes Wall,First Pullout (Calico I),0.0337075452511655,0.1081915799990392,38
Doctor's Orders,Janes Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106585757/doctors-orders,2.1,-1,Sport,5.10b,1,30.0,36.15234,-115.4323,Janes Wall,First Pullout (Calico I),0.0337075452511655,0.1081915799990392,39
See Dick Fly,Janes Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106585771/see-dick-fly,2.9,-1,Sport,5.10d,1,55.0,36.15234,-115.4323,Janes Wall,First Pullout (Calico I),0.0337075452511655,0.1081915799990392,40
Keep It Gutta,Janes Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/108646355/keep-it-gutta,2.1,-1,Trad,5.10b/c,1,75.0,36.15234,-115.4323,Janes Wall,First Pullout (Calico I),0.0337075452511655,0.1081915799990392,41
Been Caught Stealin',Janes Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/108653482/been-caught-stealin,2.3,-1,Sport,5.11b,1,60.0,36.15234,-115.4323,Janes Wall,First Pullout (Calico I),0.0337075452511655,0.1081915799990392,42
Idiots Rule,Janes Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106585768/idiots-rule,3.4,-1,Sport,5.11d,1,60.0,36.15234,-115.4323,Janes Wall,First Pullout (Calico I),0.0337075452511655,0.1081915799990392,43
Mannish Boys,Janes Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106684297/mannish-boys,2.2,-1,Sport,5.11-,1,40.0,36.15234,-115.4323,Janes Wall,First Pullout (Calico I),0.0337075452511655,0.1081915799990392,44
Iron Maiden,Iron Man Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106222692/iron-maiden,3.0,-1,Sport,5.11-,1,70.0,36.15189,-115.4321,Iron Man Wall,First Pullout (Calico I),0.0341295505389685,0.139278345681284,45
Test of Time,Iron Man Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106222695/test-of-time,2.6,-1,Sport,5.10a,1,55.0,36.15189,-115.4321,Iron Man Wall,First Pullout (Calico I),0.0341295505389685,0.139278345681284,46
Particle Man,Iron Man Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106502811/particle-man,1.4,-1,Sport,5.9,1,30.0,36.15189,-115.4321,Iron Man Wall,First Pullout (Calico I),0.0341295505389685,0.139278345681284,47
Rust Bucket,Iron Man Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106222698/rust-bucket,1.4,-1,Sport,5.9,1,40.0,36.15189,-115.4321,Iron Man Wall,First Pullout (Calico I),0.0341295505389685,0.139278345681284,48
Brandi Whine,Iron Man Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106502830/brandi-whine,1.6,-1,"Sport, TR",5.8+,1,50.0,36.15189,-115.4321,Iron Man Wall,First Pullout (Calico I),0.0341295505389685,0.139278345681284,49
Slag Crack,Iron Man Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/119941452/slag-crack,1.0,-1,Trad,5.8,1,50.0,36.15189,-115.4321,Iron Man Wall,First Pullout (Calico I),0.0341295505389685,0.139278345681284,50
Silver Surfer,Iron Man Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106222701/silver-surfer,2.5,-1,"Sport, TR",5.10a/b,1,55.0,36.15189,-115.4321,Iron Man Wall,First Pullout (Calico I),0.0341295505389685,0.139278345681284,51
Ferrous Wheel,Iron Man Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106302420/ferrous-wheel,1.8,-1,"Sport, TR",5.10d,1,45.0,36.15189,-115.4321,Iron Man Wall,First Pullout (Calico I),0.0341295505389685,0.139278345681284,52
Oxosis,Iron Man Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106510205/oxosis,2.3,-1,Sport,5.11c/d,1,45.0,36.15189,-115.4321,Iron Man Wall,First Pullout (Calico I),0.0341295505389685,0.139278345681284,53
Iron Man,Iron Man Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106222689/iron-man,1.0,-1,Trad,5.10d,1,90.0,36.15189,-115.4321,Iron Man Wall,First Pullout (Calico I),0.0341295505389685,0.139278345681284,54
Easiest Path,Iron Man Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106502834/easiest-path,1.7,-1,"Sport, TR",5.8,1,55.0,36.15189,-115.4321,Iron Man Wall,First Pullout (Calico I),0.0341295505389685,0.139278345681284,55
Necco Waif,Iron Man Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106503621/necco-waif,1.8,-1,"Trad, TR",5.7,1,40.0,36.15189,-115.4321,Iron Man Wall,First Pullout (Calico I),0.0341295505389685,0.139278345681284,56
The Die is Cast,The Hamlet > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/111157847/the-die-is-cast,2.4,-1,Sport,5.8,1,85.0,36.15055,-115.43111,The Hamlet,First Pullout (Calico I),0.0341427699817112,0.2470516197603794,57
Sea of Troubles,The Hamlet > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106608213/sea-of-troubles,2.8,-1,Sport,5.9,1,75.0,36.15055,-115.43111,The Hamlet,First Pullout (Calico I),0.0341427699817112,0.2470516197603794,58
To Grunt and Sweat,The Hamlet > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107958581/to-grunt-and-sweat,2.5,-1,Sport,5.8,1,60.0,36.15055,-115.43111,The Hamlet,First Pullout (Calico I),0.0341427699817112,0.2470516197603794,59
The Rest is Silence,The Hamlet > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106949860/the-rest-is-silence,1.9,-1,TR,5.8,1,,36.15055,-115.43111,The Hamlet,First Pullout (Calico I),0.0341427699817112,0.2470516197603794,60
When the Blood Burns,The Hamlet > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106949840/when-the-blood-burns,2.5,-1,"Sport, TR",5.8,1,85.0,36.15055,-115.43111,The Hamlet,First Pullout (Calico I),0.0341427699817112,0.2470516197603794,61
Thy Spirit of a Father Lost,The Hamlet > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/112791735/thy-spirit-of-a-father-lost,2.7,-1,Sport,5.10a,1,85.0,36.15055,-115.43111,The Hamlet,First Pullout (Calico I),0.0341427699817112,0.2470516197603794,62
The Madness and the Method,The Hamlet > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106608242/the-madness-and-the-method,2.0,-1,TR,5.8-,1,60.0,36.15055,-115.43111,The Hamlet,First Pullout (Calico I),0.0341427699817112,0.2470516197603794,63
Stand Dumb and Speak Not,The Hamlet > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/118289757/stand-dumb-and-speak-not,2.3,-1,Sport,5.7,1,80.0,36.15055,-115.43111,The Hamlet,First Pullout (Calico I),0.0341427699817112,0.2470516197603794,64
Undiscovered Country,The Hamlet > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106949852/undiscovered-country,2.0,-1,TR,5.7,1,,36.15055,-115.43111,The Hamlet,First Pullout (Calico I),0.0341427699817112,0.2470516197603794,65
Sweets to the Sweet,The Hamlet > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106337101/sweets-to-the-sweet,2.3,-1,Sport,5.7,1,90.0,36.15055,-115.43111,The Hamlet,First Pullout (Calico I),0.0341427699817112,0.2470516197603794,66
Frailty Thy Name is Sandstone,The Hamlet > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106337085/frailty-thy-name-is-sandstone,2.6,-1,Sport,5.7,1,90.0,36.15055,-115.43111,The Hamlet,First Pullout (Calico I),0.0341427699817112,0.2470516197603794,67
Perchance to Dream,The Hamlet > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107958589/perchance-to-dream,2.6,-1,Sport,5.8,1,90.0,36.15055,-115.43111,The Hamlet,First Pullout (Calico I),0.0341427699817112,0.2470516197603794,68
Moni's Money,The Hamlet > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106703738/monis-money,2.2,-1,TR,5.8+,1,60.0,36.15055,-115.43111,The Hamlet,First Pullout (Calico I),0.0341427699817112,0.2470516197603794,69
Bone Machine,Trundle Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106585745/bone-machine,1.0,-1,Sport,5.11c,1,35.0,36.15229,-115.43253,Trundle Wall,First Pullout (Calico I),0.034549522066307,0.1019240065957151,70
Pocket Rocket,Trundle Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106585740/pocket-rocket,2.3,-1,Sport,5.11d,1,65.0,36.15229,-115.43253,Trundle Wall,First Pullout (Calico I),0.034549522066307,0.1019240065957151,71
Life out of Balance,Trundle Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106585748/life-out-of-balance,1.5,-1,Sport,5.11d,1,40.0,36.15229,-115.43253,Trundle Wall,First Pullout (Calico I),0.034549522066307,0.1019240065957151,72
Mission Accomplished,Newcastle Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105828543/mission-accomplished,1.5,-1,TR,5.8,1,50.0,36.15122,-115.43254,Newcastle Crag,First Pullout (Calico I),0.0370835875534005,0.1571262457542905,73
Pale Ale,Newcastle Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105926121/pale-ale,3.1,-1,Sport,5.11b,1,40.0,36.15122,-115.43254,Newcastle Crag,First Pullout (Calico I),0.0370835875534005,0.1571262457542905,74
